epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,218.562,1.52728,1.33597,1.34669,0.61786,0.44059,0.47754,0.22988,1.65381,1.32068,1.40758,0.000742625,0.000742625,0.000742625
43,318.68,1.50519,1.30625,1.33983,0.63188,0.40575,0.46549,0.22832,1.69422,1.29026,1.41002,0.00073025,0.00073025,0.00073025
44,412.747,1.50171,1.30219,1.3384,0.54941,0.47877,0.46897,0.22523,1.668,1.31555,1.4075,0.000717875,0.000717875,0.000717875
45,506.301,1.51054,1.29993,1.33672,0.58427,0.47372,0.4917,0.2296,1.63695,1.30523,1.3848,0.0007055,0.0007055,0.0007055
46,601.716,1.50656,1.2994,1.33473,0.55576,0.4819,0.48868,0.24036,1.68299,1.2827,1.41815,0.000693125,0.000693125,0.000693125
47,696.846,1.49269,1.29081,1.33421,0.64151,0.46355,0.487,0.23379,1.65735,1.27677,1.40835,0.00068075,0.00068075,0.00068075
48,791.79,1.5071,1.29072,1.33439,0.56989,0.50058,0.49401,0.23397,1.67658,1.27747,1.40154,0.000668375,0.000668375,0.000668375
49,886.513,1.48323,1.26923,1.32871,0.58978,0.45081,0.47849,0.22991,1.6889,1.27099,1.42032,0.000656,0.000656,0.000656
50,980.048,1.47345,1.25669,1.31536,0.57562,0.47923,0.47605,0.233,1.66557,1.2832,1.39834,0.000643625,0.000643625,0.000643625
51,1073.04,1.47236,1.24537,1.31154,0.61989,0.47263,0.49156,0.23379,1.6392,1.25613,1.39585,0.00063125,0.00063125,0.00063125
52,1166,1.48309,1.24287,1.3149,0.66392,0.45443,0.48435,0.23206,1.65951,1.2575,1.40506,0.000618875,0.000618875,0.000618875
53,1259.02,1.46501,1.25067,1.30817,0.63078,0.4898,0.51287,0.24772,1.65343,1.24507,1.39945,0.0006065,0.0006065,0.0006065
54,1351.54,1.46231,1.22686,1.29863,0.66815,0.42458,0.48374,0.23057,1.69597,1.26689,1.41402,0.000594125,0.000594125,0.000594125
55,1444.71,1.45453,1.22806,1.30293,0.65071,0.47002,0.48866,0.24034,1.65842,1.26029,1.40341,0.00058175,0.00058175,0.00058175
56,1576.44,1.46381,1.23292,1.30256,0.60825,0.49882,0.49482,0.23602,1.66716,1.25805,1.40136,0.000569375,0.000569375,0.000569375
57,1669.82,1.45041,1.20956,1.29418,0.64015,0.48802,0.51288,0.24017,1.64702,1.21337,1.40834,0.000557,0.000557,0.000557
58,1763.16,1.44129,1.198,1.29433,0.62676,0.50095,0.50816,0.24338,1.65231,1.24686,1.39037,0.000544625,0.000544625,0.000544625
59,1855.37,1.44082,1.18902,1.28927,0.6663,0.46591,0.50103,0.25113,1.64765,1.22094,1.38527,0.00053225,0.00053225,0.00053225
60,1948.22,1.44975,1.19552,1.2856,0.63676,0.50011,0.50915,0.2484,1.63836,1.22642,1.39157,0.000519875,0.000519875,0.000519875
61,2040.52,1.43517,1.17383,1.28071,0.67462,0.49002,0.50526,0.24706,1.64367,1.2269,1.37745,0.0005075,0.0005075,0.0005075
62,2133.88,1.41736,1.16516,1.27571,0.64403,0.49584,0.50592,0.25122,1.64814,1.24144,1.38867,0.000495125,0.000495125,0.000495125
63,2228.08,1.43009,1.18368,1.2813,0.65827,0.48672,0.50527,0.23911,1.66923,1.22382,1.40486,0.00048275,0.00048275,0.00048275
64,2320.75,1.40386,1.16007,1.27154,0.65052,0.46951,0.49658,0.23626,1.65282,1.2086,1.39572,0.000470375,0.000470375,0.000470375
65,2413.78,1.41027,1.16192,1.2682,0.66475,0.48893,0.51356,0.24937,1.6449,1.20572,1.39015,0.000458,0.000458,0.000458
66,2506.38,1.41492,1.14547,1.26734,0.6685,0.49318,0.52198,0.24751,1.64197,1.21274,1.38971,0.000445625,0.000445625,0.000445625
67,2599.51,1.39001,1.13754,1.26581,0.6573,0.47327,0.49885,0.24216,1.64954,1.21884,1.39341,0.00043325,0.00043325,0.00043325
68,2693.12,1.37877,1.1237,1.25648,0.6744,0.46563,0.50422,0.24072,1.63435,1.21436,1.39565,0.000420875,0.000420875,0.000420875
69,2785.99,1.39429,1.13802,1.26114,0.69206,0.47037,0.51992,0.24588,1.6538,1.22373,1.39552,0.0004085,0.0004085,0.0004085
70,2879.1,1.39458,1.12292,1.26257,0.69955,0.476,0.52387,0.24201,1.64166,1.20936,1.39199,0.000396125,0.000396125,0.000396125
71,2972.77,1.38816,1.11123,1.26248,0.69667,0.46199,0.51256,0.24288,1.67128,1.21857,1.40489,0.00038375,0.00038375,0.00038375
72,3065.12,1.37255,1.10795,1.25667,0.61632,0.5223,0.52137,0.25179,1.64536,1.20646,1.40119,0.000371375,0.000371375,0.000371375
73,3158.77,1.37602,1.11871,1.25454,0.66018,0.48021,0.52367,0.24717,1.64668,1.20699,1.39456,0.000359,0.000359,0.000359
74,3251.88,1.37157,1.10436,1.24883,0.65632,0.48499,0.51527,0.24607,1.6198,1.18791,1.39837,0.000346625,0.000346625,0.000346625
75,3344.69,1.37809,1.10787,1.25006,0.7057,0.46754,0.5238,0.25274,1.63688,1.19016,1.38932,0.00033425,0.00033425,0.00033425
76,3438.43,1.36887,1.0881,1.23977,0.69609,0.50106,0.53179,0.24867,1.6153,1.1892,1.39078,0.000321875,0.000321875,0.000321875
77,3531.4,1.36552,1.10213,1.24389,0.6082,0.50718,0.51668,0.23987,1.63532,1.1785,1.40299,0.0003095,0.0003095,0.0003095
78,3624.64,1.35766,1.09067,1.23929,0.68496,0.47903,0.51877,0.24879,1.64586,1.1902,1.40285,0.000297125,0.000297125,0.000297125
79,3717.6,1.35777,1.08175,1.23758,0.65078,0.50501,0.51799,0.24182,1.63338,1.18825,1.402,0.00028475,0.00028475,0.00028475
